음식이름,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,원산지국코드,품목제조보고번호,데이터생성방법코드,제공기관코드,표본개수
갈릭버터볶음밥,193.0,,3.58,2.3,,39.5,0.08,,,,,,388.0,,,,,,,,,0.94,0.89,0.0,,3.0,,,2.0,1471000.0,1
갈릭베이컨마요김밥,201.0,,5.68,10.04,,21.83,3.06,,,,,,528.0,,,,,,,,,50.22,3.49,0.13,,3.0,,,2.0,1471000.0,1
갈릭베이컨볶음밥,96.0,,3.04,2.72,,14.83,2.08,,,,,,228.0,,,,,,,,,6.9,0.73,0.0,,3.0,,,2.0,1471000.0,1
갈릭볶음밥,175.0,,9.66,3.78,,25.64,2.86,,,,,,474.0,,,,,,,,,65.07,1.3,0.04,,3.0,,,2.0,1471000.0,2
갈릭볶음밥과,169.5,,6.4399999999999995,5.23,,24.04,3.8049999999999997,,,,,,168.5,,,,,,,,,11.114999999999998,1.08,0.0,,3.0,,,2.0,1471000.0,2
갈릭비프스테이크,151.0,,10.53,8.66,,7.81,2.89,,,,,,191.0,,,,,,,,,29.71,2.21,0.34,,3.0,,,2.0,1471000.0,1
갈릭새우볶음밥,193.0,,9.25,7.53,,21.58,2.05,,,,,,308.0,,,,,,,,,49.66,1.44,0.1,,3.0,,,2.0,1471000.0,1
갈릭소시지김밥,184.0,,3.98,10.18,,19.03,3.1,,,,,,617.0,,,,,,,,,14.16,2.66,0.0,,3.0,,,2.0,1471000.0,2
갈릭소시지볶음밥,194.0,,5.2,5.6,,30.8,0.4,,,,,,360.0,,,,,,,,,2.0,1.36,0.0,,3.0,,,2.0,1471000.0,1
갈릭쉬림프오일파스타,239.0,,4.52,9.35,,34.19,2.58,,,,,,487.0,,,,,,,,,5.81,1.61,0.0,,3.0,,,2.0,1471000.0,1
